"Date","Type","Transaction ID","Received Quantity","Received Currency","Received Currency Balance","Received Cost Basis (USD)","Received Wallet","Received Address","Received Tag","Received Comment","Sent Quantity","Sent Currency","Sent Currency Balance","Sent Cost Basis (USD)","Sent Wallet","Sent Address","Sent Tag","Sent Comment","Fee Amount","Fee Currency","Realized Return (USD)","Disabled"
03/05/2020 19:13:46,Receive,31ae2e3de0951a5ddb087f84ff8c214b0e15a8b325a2c52a8710613029cf00b2,0.00001000,BTC,...,...,BTC Wallet ...jwvw97 - BTC,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,,,,,...,...,,,,,0.00004746,BTC,...,
04/10/2020 19:23:55,Send,b36bced99cc459506ad2b3af6990920b12f6dc84f9c7ed0dd2c3703f94a4b692,,,...,...,,,,,15000.00010019,BTC,...,...,BTC Wallet ...jwvw97 - BTC,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,,,0.00010019,BTC,...,
04/13/2020 19:45:05,Send,79893c396bad2b43d2b4713c68d33de7129eb09d7da6e65b08cb9867f3b39ec6,,,...,...,,,,,16000.00003352,BTC,...,...,BTC Wallet ...jwvw97 - BTC,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,,,0.00003352,BTC,...,
04/27/2020 17:22:52,Send,0fd708441a160a176b3e9e9085b4a4ec859ad64bf77802ff8b7ac518f1a3c5c2,,,...,...,,,,,5000.00006224,BTC,...,...,BTC Wallet ...jwvw97 - BTC,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,,,0.00006224,BTC,...,
04/29/2020 12:52:44,Send,9302dd6c979c90bbc32c6ad077e5ce243c73600a21ee2d5c927868b1bd500445,,,...,...,,,,,12000.00006886,BTC,...,...,BTC Wallet ...jwvw97 - BTC,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,,,0.00006886,BTC,...,
05/03/2020 09:05:29,Send,0250f91fc6969fab68b48327fa4b3f1e929658e2e3f1e9e34842dfd22a352a47,,,...,...,,,,,6000.00032992,BTC,...,...,BTC Wallet ...jwvw97 - BTC,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,,,0.00032992,BTC,...,
05/05/2020 22:03:22,Send,b028f5162b493754291f3e9946f8860aa882905abef75d9193a3a4479ae58c22,,,...,...,,,,,7500.00022344,BTC,...,...,BTC Wallet ...jwvw97 - BTC,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,,,0.00022344,BTC,...,
05/07/2020 22:34:17,Send,63bd442da23a72dbb937b40a4f82ebd1f4de8708a5d5e7abcaa850ce81917148,,,...,...,,,,,2500.00025741,BTC,...,...,BTC Wallet ...jwvw97 - BTC,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,,,0.00025741,BTC,...,
05/09/2020 16:27:13,Send,5385fbb88d2c7512d4a1d2167776c75efcc9444c810c72bb6ce83f9db918b90a,,,...,...,,,,,7500.00025764,BTC,...,...,BTC Wallet ...jwvw97 - BTC,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,,,0.00025764,BTC,...,
05/11/2020 13:27:58,Send,4ce534c0870adda4f054ac2d40141b91cbe518e68069c7d58a08c31d7d55a16f,,,...,...,,,,,5000.00020292,BTC,...,...,BTC Wallet ...jwvw97 - BTC,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,,,0.00020292,BTC,...,
05/12/2020 20:58:40,Send,85d8fba5e049f629cd00f5a587de4f83b4c69f410f8d427c40927112aa044ff4,,,...,...,,,,,10000.00034496,BTC,...,...,BTC Wallet ...jwvw97 - BTC,bc1qgdjqv0av3q56jvd82tkdjpy7gdp9ut8tlqmgrpmv24sq90ecnvqqjwvw97,,,0.00034496,BTC,...,
