Date,Open,High,Low,Close,Adj Close,Volume
2021-01-29,29.840000,29.920000,29.049999,29.400000,28.538679,24600
2021-02-01,29.350000,29.469999,28.650000,29.290001,28.431904,23200
2021-02-02,29.450001,29.900000,29.270000,29.670000,28.800770,13200
2021-02-03,29.650000,29.650000,29.059999,29.410000,28.548388,18800
2021-02-04,29.549999,30.590000,29.410000,30.590000,29.693817,27300
2021-02-05,30.840000,31.080000,30.240000,31.030001,30.120930,31700
2021-02-08,30.959999,31.709999,30.700001,31.709999,30.781004,28800
2021-02-09,31.670000,31.799999,31.270000,31.540001,30.615988,20500
2021-02-10,31.799999,31.860001,31.270000,31.580000,30.654812,23900
2021-02-11,31.549999,31.950001,31.120001,31.709999,30.781004,23000
2021-02-12,31.549999,31.780001,30.860001,31.090000,30.179171,14800
2021-02-16,31.320000,31.620001,30.900000,31.200001,30.285948,16300
2021-02-17,31.040001,31.860001,30.870001,31.120001,30.208292,12100
2021-02-18,31.049999,31.280001,30.879999,30.910000,30.004442,13800
2021-02-19,31.049999,31.420000,31.049999,31.420000,30.499502,11300
2021-02-22,31.129999,32.000000,31.129999,31.830000,30.897490,20800
2021-02-23,31.799999,33.000000,31.549999,32.090000,31.149874,20700
2021-02-24,32.369999,32.840000,32.009998,32.220001,31.276068,37100
2021-02-25,32.480000,32.750000,32.230000,32.230000,31.285769,20600
2021-02-26,32.020000,32.549999,31.370001,31.860001,30.926611,35300
2021-03-01,32.029999,32.439999,31.879999,32.049999,31.367020,22500
2021-03-02,32.020000,32.369999,31.549999,31.860001,31.181072,22900
2021-03-03,32.160000,33.500000,31.860001,32.990002,32.286995,37100
2021-03-04,32.939999,34.169998,32.549999,32.750000,32.052109,45900
2021-03-05,33.299999,34.509998,32.799999,33.980000,33.255894,36800
2021-03-08,34.090000,35.500000,34.090000,35.279999,34.528191,46300
2021-03-09,35.160000,35.380001,34.189999,34.630001,33.892044,22500
2021-03-10,34.680000,35.939999,34.549999,35.820000,35.056683,29000
2021-03-11,35.930000,36.099998,35.110001,35.980000,35.213272,25300
2021-03-12,35.990002,36.480000,35.869999,36.099998,35.330719,40300
2021-03-15,36.360001,36.360001,34.799999,35.520000,34.763073,23000
2021-03-16,35.160000,35.270000,34.279999,34.580002,33.843113,20200
2021-03-17,34.790001,34.939999,34.209999,34.750000,34.009487,20600
2021-03-18,34.470001,35.810001,34.470001,34.810001,34.068211,17900
2021-03-19,34.580002,34.669998,33.520000,34.340000,33.608227,137500
2021-03-22,34.340000,34.639999,33.240002,33.689999,32.972073,20900
2021-03-23,33.419998,34.220001,33.049999,33.119999,32.414219,15900
2021-03-24,32.590000,34.540001,32.590000,32.930000,32.228268,13400
2021-03-25,33.180000,34.689999,32.480000,33.889999,33.167812,24300
2021-03-26,34.189999,34.320000,33.480000,34.320000,33.588646,15300
2021-03-29,33.840000,34.330002,33.570000,33.570000,32.854630,15100
2021-03-30,33.889999,34.650002,33.570000,33.860001,33.138454,19700
2021-03-31,33.740002,33.810001,33.259998,33.310001,32.600174,40300
2021-04-01,33.320000,33.900002,33.310001,33.849998,33.128662,11000
2021-04-05,34.250000,34.630001,33.799999,34.570000,33.833317,20000
2021-04-06,34.799999,35.349998,33.889999,34.070000,33.343975,17300
2021-04-07,34.150002,34.150002,33.290001,33.490002,32.776337,16600
2021-04-08,33.500000,33.689999,33.220001,33.689999,32.972073,11500
2021-04-09,33.639999,33.880001,33.330002,33.500000,32.786121,17000
2021-04-12,33.500000,34.150002,33.500000,34.090000,33.363548,11700
2021-04-13,34.220001,34.619999,33.320000,33.590000,32.874203,20500
2021-04-14,34.070000,34.250000,33.730000,33.930000,33.206959,10300
2021-04-15,33.930000,34.220001,33.500000,34.060001,33.334190,11500
2021-04-16,34.299999,34.360001,33.509998,34.000000,33.275463,29700
2021-04-19,34.000000,34.060001,33.599998,34.000000,33.275463,24000
2021-04-20,34.009998,34.169998,33.900002,34.020000,33.295044,34600
2021-04-21,34.009998,34.919998,33.889999,34.750000,34.009487,32300
2021-04-22,34.970001,35.000000,33.310001,34.680000,33.940979,31800
2021-04-23,34.980000,35.490002,34.400002,34.400002,33.666943,51000
2021-04-26,34.689999,35.500000,33.970001,34.230000,33.500565,37200
2021-04-27,34.630001,35.400002,34.000000,34.430000,33.696304,37500
2021-04-28,34.320000,35.820000,34.020000,35.610001,34.851162,31700
2021-04-29,35.860001,36.290001,35.139999,35.900002,35.134979,22800
2021-04-30,35.520000,35.570000,34.240002,35.349998,34.596695,45800
2021-05-03,35.480000,36.090000,35.360001,36.009998,35.242634,27500
2021-05-04,35.810001,36.660000,35.520000,36.130001,35.360077,18000
2021-05-05,36.060001,36.470001,35.500000,35.880001,35.115406,17600
2021-05-06,36.049999,37.459999,35.860001,37.410000,36.612801,40100
2021-05-07,37.049999,37.880001,37.000000,37.700001,36.896622,30700
2021-05-10,37.880001,38.259998,37.320000,37.770000,36.965130,52400
2021-05-11,37.150002,37.799999,37.040001,37.500000,36.700882,31500
2021-05-12,37.419998,37.619999,36.410000,36.410000,35.634109,39200
2021-05-13,36.389999,37.700001,36.330002,37.299999,36.505146,24400
2021-05-14,37.360001,37.889999,36.730000,37.270000,36.475784,18900
2021-05-17,37.020000,37.189999,36.630001,36.950001,36.162605,19400
2021-05-18,37.320000,37.320000,36.439999,36.590000,35.810276,16500
2021-05-19,36.209999,36.209999,35.160000,36.049999,35.281780,39600
2021-05-20,35.910000,36.490002,35.770000,36.150002,35.379650,28200
2021-05-21,36.520000,36.830002,36.299999,36.680000,35.898357,17800
2021-05-24,36.730000,36.730000,36.000000,36.250000,35.477520,19900
2021-05-25,36.220001,37.220001,35.029999,35.040001,34.293304,23100
2021-05-26,35.270000,36.340000,35.270000,36.160000,35.389439,24800
2021-05-27,36.520000,36.779999,36.349998,36.500000,35.722191,39400
2021-05-28,36.830002,37.169998,36.299999,37.099998,36.309402,22700
2021-06-01,37.110001,37.240002,36.590000,37.000000,36.467102,27700
2021-06-02,37.070000,37.139999,36.080002,36.480000,35.954590,26400
2021-06-03,36.470001,36.770000,36.200001,36.759998,36.230556,25600
2021-06-04,36.750000,36.750000,36.299999,36.669998,36.141853,23500
2021-06-07,36.619999,36.919998,36.250000,36.820000,36.289692,17600
2021-06-08,36.900002,37.000000,36.340000,36.669998,36.141853,28600
2021-06-09,36.660000,37.000000,36.340000,36.980000,36.447388,39300
2021-06-10,37.160000,37.220001,36.790001,36.790001,36.260124,44300
2021-06-11,37.049999,37.060001,36.720001,36.889999,36.358685,18000
2021-06-14,36.970001,36.970001,36.500000,36.660000,36.131996,34600
2021-06-15,36.880001,37.169998,36.669998,37.049999,36.516380,32700
2021-06-16,36.980000,37.349998,36.709999,37.320000,36.782490,34700
2021-06-17,37.279999,37.500000,36.950001,37.200001,36.664219,38500
2021-06-18,36.570000,37.630001,36.029999,36.180000,35.658913,172900
2021-06-21,36.509998,36.930000,36.080002,36.180000,35.658913,38800
2021-06-22,36.270000,36.720001,35.500000,36.150002,35.629345,36600
2021-06-23,36.150002,36.410000,35.900002,36.060001,35.540642,24000
2021-06-24,36.150002,36.669998,35.900002,36.560001,36.033440,27300
2021-06-25,36.349998,37.540001,36.250000,36.610001,36.082718,139100
2021-06-28,36.750000,36.779999,36.110001,36.500000,35.974300,35700
2021-06-29,36.570000,36.910000,36.000000,36.220001,35.698338,35200
2021-06-30,36.000000,36.360001,35.610001,35.950001,35.432224,56600
2021-07-01,36.029999,36.270000,35.720001,36.189999,35.668766,36700
2021-07-02,36.200001,36.450001,35.779999,35.959999,35.442078,33000
2021-07-06,35.919998,36.270000,35.250000,35.869999,35.353374,46800
2021-07-07,35.779999,36.200001,35.779999,36.000000,35.481503,28300
2021-07-08,35.459999,36.020000,35.139999,35.560001,35.047840,31800
2021-07-09,35.930000,36.180000,35.540001,36.049999,35.530781,18300
2021-07-12,35.910000,36.380001,35.759998,36.189999,35.668766,35600
2021-07-13,36.099998,36.369999,35.650002,36.000000,35.481503,23100
2021-07-14,36.009998,36.250000,35.759998,36.090000,35.570206,18900
2021-07-15,35.910000,36.450001,35.820000,36.400002,35.875744,22400
2021-07-16,36.560001,36.709999,36.060001,36.320000,35.796894,23200
2021-07-19,35.700001,36.470001,35.349998,36.000000,35.481503,42600
2021-07-20,35.820000,36.810001,35.560001,35.580002,35.067554,59100
2021-07-21,35.919998,36.439999,35.630001,36.070000,35.550495,22700
2021-07-22,35.869999,35.869999,35.049999,35.180000,34.673313,18500
2021-07-23,35.549999,36.119999,35.520000,35.810001,35.294243,9200
2021-07-26,35.910000,36.400002,35.790001,36.000000,35.481503,18100
2021-07-27,35.939999,36.169998,35.700001,35.730000,35.215393,12700
2021-07-28,36.080002,36.090000,35.740002,36.060001,35.540642,13000
2021-07-29,36.360001,36.360001,35.709999,36.150002,35.629345,15100
2021-07-30,36.080002,36.349998,35.980000,36.049999,35.530781,12700
2021-08-02,35.880001,36.299999,35.549999,35.560001,35.047840,20600
2021-08-03,35.560001,36.150002,35.560001,36.080002,35.560352,18100
2021-08-04,35.730000,36.200001,35.730000,35.990002,35.471649,8700
2021-08-05,36.029999,36.150002,35.689999,35.790001,35.274529,9400
2021-08-06,35.830002,36.540001,35.830002,36.200001,35.678623,32000
2021-08-09,36.000000,36.490002,35.990002,36.279999,35.757469,17800
2021-08-10,36.230000,36.959999,36.230000,36.740002,36.210846,18200
2021-08-11,36.689999,37.349998,36.610001,37.180000,36.644508,19000
2021-08-12,36.889999,37.340000,36.730000,37.000000,36.467102,15100
2021-08-13,37.220001,37.290001,37.040001,37.150002,36.614941,8900
2021-08-16,36.900002,37.009998,36.480000,36.509998,35.984158,14500
2021-08-17,36.470001,37.189999,35.820000,36.240002,35.718048,19400
2021-08-18,36.049999,37.209999,35.849998,35.910000,35.392799,18600
2021-08-19,35.709999,37.270000,35.709999,36.090000,35.570206,19000
2021-08-20,35.860001,35.990002,35.000000,35.330002,34.821156,90500
2021-08-23,35.250000,35.930000,35.250000,35.779999,35.264671,9300
2021-08-24,35.759998,35.959999,35.139999,35.369999,34.860577,16200
2021-08-25,35.259998,35.790001,35.259998,35.500000,34.988705,15000
2021-08-26,35.619999,35.889999,35.389999,35.599998,35.087261,21100
2021-08-27,35.599998,36.799999,35.599998,36.470001,35.944736,21800
2021-08-30,36.680000,36.840000,36.380001,36.450001,35.925022,21700
2021-08-31,36.459999,36.959999,36.389999,36.849998,36.319260,30400
2021-09-01,37.000000,37.580002,36.119999,37.580002,37.038750,28100
2021-09-02,37.240002,37.470001,36.889999,37.020000,36.741009,13800
2021-09-03,36.980000,36.980000,36.299999,36.509998,36.234852,13800
2021-09-07,36.490002,36.529999,36.099998,36.130001,35.857716,15700
2021-09-08,36.189999,36.349998,35.689999,35.910000,35.639374,19400
2021-09-09,35.950001,36.090000,35.619999,35.630001,35.361485,26500
2021-09-10,35.900002,35.900002,35.080002,35.080002,34.815632,19800
2021-09-13,35.410000,36.259998,35.220001,35.750000,35.480579,20900
2021-09-14,35.950001,36.180000,35.279999,35.500000,35.232464,27100
2021-09-15,35.700001,36.099998,35.430000,35.669998,35.401180,40600
2021-09-16,34.790001,34.790001,33.730000,33.770000,33.515503,38500
2021-09-17,33.919998,34.490002,33.259998,34.450001,34.190376,127200
2021-09-20,33.770000,33.770000,32.900002,33.070000,32.820778,51200
2021-09-21,33.410000,33.410000,32.730000,32.790001,32.542889,27300
2021-09-22,33.130001,33.500000,32.810001,33.009998,32.761227,24100
2021-09-23,33.169998,33.480000,33.169998,33.430000,33.178062,24500
2021-09-24,33.240002,33.980000,33.240002,33.570000,33.317009,9500
2021-09-27,33.570000,35.240002,33.250000,34.730000,34.468266,25500
2021-09-28,34.660000,34.750000,34.099998,34.110001,33.852940,21500
2021-09-29,34.150002,35.349998,34.119999,35.029999,34.766006,19000
2021-09-30,35.080002,35.279999,34.349998,34.360001,34.101055,14200
2021-10-01,34.630001,35.880001,34.169998,35.490002,35.222542,18700
2021-10-04,35.400002,35.869999,34.950001,35.180000,34.914875,13600
2021-10-05,35.500000,35.500000,35.000000,35.200001,34.934727,20100
2021-10-06,34.930000,35.250000,34.860001,35.080002,34.815632,16400
2021-10-07,35.369999,35.889999,35.080002,35.759998,35.490501,26400
2021-10-08,35.869999,36.150002,35.779999,35.849998,35.579826,9000
2021-10-11,36.000000,36.000000,35.560001,35.799999,35.530201,13500
2021-10-12,35.709999,36.119999,35.410000,35.790001,35.520279,11700
2021-10-13,35.910000,35.959999,35.619999,35.740002,35.470657,12600
2021-10-14,36.119999,36.200001,35.740002,35.950001,35.679073,12900
2021-10-15,36.270000,36.490002,35.720001,35.900002,35.629452,24000
2021-10-18,35.730000,35.810001,35.549999,35.590000,35.321785,6900
2021-10-19,35.919998,35.919998,35.330002,35.610001,35.341637,9400
2021-10-20,35.220001,36.160000,35.220001,35.860001,35.589752,21100
2021-10-21,36.000000,36.000000,35.790001,35.900002,35.629452,8100
2021-10-22,36.060001,36.060001,35.500000,35.700001,35.430958,5400
2021-10-25,36.150002,36.169998,35.380001,35.950001,35.679073,13300
2021-10-26,35.419998,36.040001,35.419998,35.700001,35.430958,10500
2021-10-27,35.529999,35.680000,35.090000,35.290001,35.024048,9200
2021-10-28,35.490002,35.869999,35.070000,35.500000,35.232464,10700
2021-10-29,35.619999,36.029999,35.270000,35.849998,35.579826,16600
2021-11-01,35.509998,36.450001,35.509998,36.349998,36.076057,14500
2021-11-02,36.580002,36.790001,35.790001,36.189999,35.917263,14000
2021-11-03,35.959999,37.970001,35.959999,37.480000,37.197540,16900
2021-11-04,37.770000,37.770000,36.480000,36.750000,36.473045,12100
2021-11-05,37.099998,38.240002,36.779999,37.900002,37.614380,38900
2021-11-08,37.830002,37.880001,37.029999,37.490002,37.207470,11900
2021-11-09,37.340000,37.340000,36.570000,37.299999,37.018898,12600
2021-11-10,37.009998,37.439999,37.009998,37.110001,36.830330,7800
2021-11-11,37.490002,37.889999,37.369999,37.779999,37.495281,8300
2021-11-12,37.740002,37.740002,36.790001,36.790001,36.512741,12500
2021-11-15,37.070000,37.400002,36.570000,37.299999,37.018898,10300
2021-11-16,36.919998,37.209999,36.650002,36.849998,36.572289,12800
2021-11-17,36.750000,36.750000,36.009998,36.160000,35.887489,16600
2021-11-18,35.880001,36.770000,35.610001,36.730000,36.453194,23100
2021-11-19,36.290001,36.660000,36.029999,36.029999,35.758469,9000
2021-11-22,36.419998,37.060001,35.750000,36.090000,35.818016,14800
2021-11-23,36.430000,37.500000,36.369999,37.500000,37.217392,18900
2021-11-24,37.060001,37.490002,36.689999,36.840000,36.562366,7700
2021-11-26,36.060001,36.730000,35.060001,35.380001,35.113369,17500
2021-11-29,36.110001,36.169998,34.860001,34.860001,34.597286,14400
2021-11-30,34.860001,35.560001,34.500000,34.500000,34.240002,24300
2021-12-01,35.150002,37.080002,34.209999,34.259998,34.259998,17600
2021-12-02,34.730000,35.259998,34.630001,35.110001,35.110001,13000
2021-12-03,35.400002,35.400002,34.470001,35.009998,35.009998,19200
2021-12-06,35.110001,35.790001,34.500000,35.419998,35.419998,17100
2021-12-07,35.660000,35.810001,35.290001,35.500000,35.500000,7500
2021-12-08,35.340000,35.980000,35.060001,35.189999,35.189999,8400
2021-12-09,35.320000,35.320000,34.740002,34.740002,34.740002,18600
2021-12-10,34.740002,35.240002,34.349998,34.650002,34.650002,7900
2021-12-13,34.799999,35.029999,34.459999,34.610001,34.610001,12900
2021-12-14,34.240002,35.509998,34.209999,34.290001,34.290001,46100
2021-12-15,34.919998,36.119999,34.470001,36.119999,36.119999,38000
2021-12-16,36.180000,36.950001,34.990002,35.759998,35.759998,23800
2021-12-17,35.900002,35.900002,34.900002,35.049999,35.049999,39200
2021-12-20,34.619999,34.680000,33.750000,34.439999,34.439999,26900
2021-12-21,34.930000,35.299999,34.049999,34.900002,34.900002,21200
2021-12-22,34.709999,35.630001,34.419998,35.279999,35.279999,14000
2021-12-23,35.529999,36.090000,34.910000,35.230000,35.230000,14000
2021-12-27,35.750000,35.750000,35.020000,35.490002,35.490002,9100
2021-12-28,35.400002,35.810001,35.259998,35.400002,35.400002,10300
2021-12-29,35.500000,35.830002,34.799999,35.540001,35.540001,7700
2021-12-30,35.430000,35.430000,34.970001,34.970001,34.970001,6900
2021-12-31,35.209999,35.660000,34.610001,35.230000,35.230000,14300
2022-01-03,35.169998,35.830002,35.169998,35.779999,35.779999,17200
2022-01-04,35.750000,36.090000,35.459999,35.610001,35.610001,11900
2022-01-05,35.639999,36.340000,35.450001,35.660000,35.660000,18700
2022-01-06,35.680000,36.880001,35.480000,36.230000,36.230000,18100
2022-01-07,36.330002,36.990002,35.840000,36.480000,36.480000,17200
2022-01-10,36.660000,36.660000,35.520000,36.000000,36.000000,36000
2022-01-11,36.000000,36.000000,35.020000,35.750000,35.750000,30600
2022-01-12,35.790001,36.090000,35.020000,35.639999,35.639999,36500
2022-01-13,35.790001,36.240002,35.509998,35.939999,35.939999,43100
2022-01-14,35.549999,36.669998,35.349998,36.279999,36.279999,40100
2022-01-18,36.099998,36.750000,36.099998,36.150002,36.150002,22000
2022-01-19,36.270000,36.490002,35.650002,35.820000,35.820000,30500
2022-01-20,35.840000,35.869999,33.400002,33.700001,33.700001,100600
2022-01-21,33.470001,35.070000,33.310001,34.619999,34.619999,81500
2022-01-24,34.250000,36.560001,33.709999,36.450001,36.450001,51300
2022-01-25,36.189999,36.200001,35.150002,35.889999,35.889999,25900
2022-01-26,36.060001,36.529999,35.220001,35.830002,35.830002,29100
2022-01-27,null,null,null,null,null,null
2022-01-28,35.099998,35.320000,34.340000,34.959999,34.959999,21130
