Date,Open,High,Low,Close,Adj Close,Volume
2021-01-29,197.820007,203.050003,192.809998,193.250000,192.070175,21503000
2021-02-01,195.139999,199.210007,195.020004,198.360001,197.148972,12970700
2021-02-02,200.850006,204.350006,200.000000,202.610001,201.373032,11305100
2021-02-03,203.070007,203.509995,200.979996,201.360001,200.130661,13458600
2021-02-04,203.240005,209.679993,203.100006,209.250000,207.972488,14534800
2021-02-05,209.979996,210.130005,208.660004,208.770004,207.495407,10284000
2021-02-08,210.000000,210.649994,205.910004,206.889999,205.626892,8637100
2021-02-09,205.759995,207.630005,203.699997,206.520004,205.259140,7619400
2021-02-10,207.970001,207.970001,205.940002,206.440002,205.179642,8467600
2021-02-11,207.330002,211.589996,207.190002,210.660004,209.698929,8411100
2021-02-12,209.360001,211.130005,207.679993,209.960007,209.002121,6911000
2021-02-16,210.660004,211.050003,207.350006,207.899994,206.951508,9652700
2021-02-17,205.259995,208.279999,205.059998,207.509995,206.563293,8373200
2021-02-18,205.880005,209.699997,204.960007,209.350006,208.394897,7328600
2021-02-19,209.339996,209.529999,203.759995,204.729996,203.795975,15011500
2021-02-22,203.550003,210.649994,203.110001,208.320007,207.369614,8337700
2021-02-23,207.399994,213.910004,206.550003,212.110001,211.142303,10571700
2021-02-24,212.360001,220.529999,211.289993,219.429993,218.428909,12039000
2021-02-25,219.289993,220.449997,212.580002,213.750000,212.774826,11404300
2021-02-26,214.050003,215.210007,210.740005,212.389999,211.421021,11730000
2021-03-01,214.970001,217.800003,214.789993,216.630005,215.641693,6982000
2021-03-02,216.960007,217.929993,214.820007,215.770004,214.785614,6155200
2021-03-03,215.149994,217.190002,212.860001,214.850006,213.869812,6484600
2021-03-04,215.970001,217.020004,208.669998,211.500000,210.535095,10658900
2021-03-05,213.729996,216.100006,209.630005,215.410004,214.427246,7582000
2021-03-08,216.979996,226.130005,215.809998,220.270004,219.265076,14750400
2021-03-09,222.059998,225.000000,220.190002,220.360001,219.354675,9228600
2021-03-10,220.720001,224.190002,219.399994,223.169998,222.151855,7822900
2021-03-11,224.529999,228.229996,223.809998,226.149994,225.118240,10053400
2021-03-12,225.279999,226.539993,223.419998,224.360001,223.336441,8172400
2021-03-15,224.229996,227.089996,221.740005,223.270004,222.251404,9306100
2021-03-16,223.710007,225.580002,222.300003,224.699997,223.674866,8949300
2021-03-17,225.050003,226.240005,221.759995,223.020004,222.002533,8675600
2021-03-18,221.429993,222.520004,219.580002,220.660004,219.653305,9321800
2021-03-19,219.119995,220.169998,206.880005,206.899994,205.956070,32209700
2021-03-22,206.550003,212.289993,206.229996,208.000000,207.051056,11371600
2021-03-23,209.050003,209.960007,207.500000,208.149994,207.200363,8820700
2021-03-24,208.750000,211.139999,207.929993,208.070007,207.120743,10101600
